P,6,5,1641,6831.54
P,1,10,1157,108.7
N,2210,4,1,19
47719,4,3
96158,4,8
56039,4,3
89300,4,7
56330,4,9
65083,4,5
81639,4,1
89767,4,3
38614,4,6
3909,4,5
4161,4,6
6191,4,1
52966,4,2
64403,4,3
69237,4,3
72391,4,1
76388,4,5
95716,4,7
97499,4,5
D,3,6
N,2787,4,1,12
71005,4,7
1471,4,6
4006,4,1
14789,4,9
23686,4,2
31075,4,8
72666,4,5
73428,4,9
89319,4,5
89735,4,7
96231,4,5
97991,4,7
N,2786,4,1,18
40519,4,5
65254,4,5
6191,4,4
88022,1,7
94919,4,3
52967,4,5
81447,4,7
24288,4,7
40326,4,7
19939,4,10
32467,4,5
56996,4,7
63206,4,7
64609,4,3
64995,4,1
70607,4,8
95705,4,4
98021,4,1
D,4,3
N,233,4,1,18
20196,4,9
96969,4,5
72123,4,1
97811,4,7
39959,4,3
38117,4,3
15391,4,7
14503,4,10
20947,4,9
30375,4,8
31461,4,4
34034,4,4
50663,4,5
55493,4,4
65249,4,4
80039,4,7
95845,4,9
95942,4,1
R,5,4,2062
P,10,1,936,144.27
P,8,10,1263,150.8
D,4,8
N,326,4,1,20
48353,4,9
40595,4,2
72573,4,2
47637,4,8
56775,4,1
72143,4,4
81629,4,3
31954,4,2
3898,4,2
5862,4,6
9702,4,9
10959,4,3
22231,4,5
35655,4,5
56982,4,4
56987,4,6
64863,4,1
65218,4,3
72183,4,8
73171,4,2
N,1999,4,1,10
5191,4,3
5911,4,8
6026,4,2
15635,4,6
23613,4,9
43110,4,2
48099,4,9
52879,4,6
57063,4,8
98003,4,2
N,683,4,2,5
309,3,4
31207,4,9
32479,4,2
47267,4,3
89749,4,4
N,2943,4,2,14
55015,4,4
14791,4,2
2112,4,3
3139,4,2
5397,4,5
5603,4,1
24231,4,7
25986,4,6
40125,4,8
52967,4,7
54861,4,7
62439,4,7
73447,4,2
88389,4,7
I,3,3,13
D,1,9
N,451,4,1,18
48835,4,3
56806,4,10
30179,4,2
34276,4,4
6131,4,4
26919,4,8
38823,7,8
3334,4,8
10631,4,10
23519,4,8
24258,4,1
31957,4,1
61110,4,10
65223,4,7
81318,4,4
93415,4,5
93762,4,5
97511,4,1
N,1699,4,2,18
72663,4,9
56963,4,3
40134,4,10
22588,4,7
43591,4,8
88799,4,2
54999,4,8
72326,4,7
38627,4,7
15569,8,6
24261,4,4
38471,4,3
40410,4,6
56678,4,9
65229,4,1
87525,4,9
89296,4,9
89742,4,5
P,6,5,763,8414.87
P,4,8,2924,157.6
N,627,4,1,14
40291,4,4
48853,4,2
64999,4,3
71298,4,4
65203,4,4
30127,4,3
31383,4,3
39329,4,6
51382,4,1
55717,4,9
60861,4,9
69415,4,8
97298,4,4
98007,4,10
D,7,2
D,8,5
D,3,8
D,6,7
N,1283,4,2,12
73174,4,10
2103,4,4
4039,4,5
9950,4,6
14979,4,2
22844,4,10
52963,4,7
69666,4,2
71108,4,3
81127,4,10
81553,4,8
95851,4,4
T
O,10,8,2682
N,771,4,2,7
14427,4,6
24165,4,4
28310,4,2
32415,4,5
77473,4,10
81062,4,9
89319,4,2
T
T
N,185,4,1,16
80518,4,2
44448,4,2
96935,4,5
69159,4,9
55719,4,6
81511,4,7
15263,4,6
30311,4,1
45222,4,4
45223,4,9
69222,4,2
84944,4,6
87717,4,5
89540,4,9
89615,4,3
93845,4,6
N,2705,4,2,9
4667,4,6
7605,4,4
21799,4,10
40167,4,10
48581,4,9
73319,4,10
81636,4,3
83617,4,8
95462,4,8
D,4,7
N,2303,4,2,12
2630,4,9
4115,4,7
6197,4,4
6207,4,10
9799,4,10
13703,4,10
39527,4,2
56807,4,6
72775,4,1
73447,4,5
81319,4,3
93907,4,5
P,10,6,550,120.5
P,4,6,2421,3329.99
N,1191,4,2,18
46655,4,4
49383,4,1
79077,4,8
8931,4,4
40676,4,3
63919,4,9
5575,4,8
5621,4,1
6199,4,1
23457,4,2
24119,4,4
31442,4,6
36003,4,7
47239,4,10
56039,4,6
64223,4,5
92199,4,5
93630,4,9
P,3,7,1783,164.79
I,8,3,20
D,6,4
N,2298,4,2,14
61927,4,6
31941,4,10
63713,4,3
62946,4,2
3973,4,1
7751,4,2
14875,4,2
40391,4,10
44727,4,2
52423,4,1
77279,4,3
88775,4,5
95911,4,9
97927,4,5
S,8,1,16,18
R,7,2,672
N,2890,4,2,9
6215,5,10
14077,4,6
16094,4,8
25063,4,3
36519,4,4
56287,4,8
59358,4,4
64482,4,8
86181,4,10
D,3,1
D,3,2
N,496,4,2,15
77013,4,10
48863,4,7
65187,4,9
32373,4,10
31847,4,5
32487,4,7
6087,4,7
30181,4,2
40540,4,1
65215,4,5
68175,4,5
70631,4,10
89310,4,9
91844,4,3
96613,4,4
N,224,4,2,20
99621,4,7
77535,4,2
15773,4,3
89059,4,3
24037,4,3
50863,4,3
22982,4,1
73422,4,8
95782,4,6
23911,4,9
21735,4,2
23518,4,6
24295,4,9
28059,4,3
35469,4,6
64206,8,9
71781,4,3
83545,4,10
97242,4,9
99803,4,2
O,2,4,1955
P,2,4,273,5094.15
N,1219,4,2,18
48462,4,8
36519,4,2
63171,4,9
32103,4,10
56742,4,3
97487,4,4
91478,4,10
57063,4,8
56006,4,10
20183,4,3
48759,4,7
50753,4,7
52580,4,7
56007,4,8
56518,4,4
64973,4,2
68879,4,2
73120,4,9
P,1,8,905,2704.24
I,7,5,14
I,8,1,16
N,2291,4,2,14
78791,4,7
46821,4,6
28327,4,5
85477,4,5
